id,name,latitude,longitude,size_bucket,Adress,Postort
70,Hällesåker IF,57.66390154285715,11.876849406122448,large,Raneredsvägen 5,LINDOME
71,Härryda IF,57.68415391999999,12.00262846,medium,Lerdalsvägen 1,HÄRRYDA
72,Högaborg Käringön FC,57.70898204200001,11.985288857999995,small,Stampgatan 64 Lgh 1702,GÖTEBORG
73,Högsbo FF ,57.6145346,11.9303156,small,Golfstigen 5,Hovås
74,Hönö IS,57.7062866,11.9290874,medium,Lindblomsvägen 30,HÖNÖ
75,IF Mölndal Fotboll,57.7882203,12.0963704,medium,Idrottsvägen 5,MÖLNDAL
76,IF Warta,57.7126853,11.9025989,medium,Södra Sälöfjordsgatan 29,GÖTEBORG
77,IFK Björkö,57.7850637,12.0867808,medium,Ekvägen 4,BOHUS-BJÖRKÖ
78,IFK Göteborg,57.6973088,12.0288277,small,Kamratgårdsvägen 50,GÖTEBORG
79,IFK Göteborg Futsal,57.73053706666667,12.032913333333331,small,Kvibergs Port 6,Göteborg
80,IFK Hindås,57.707242,11.7668321,small,Sportvägen 9,HINDÅS
81,IFK Hällingsjö,57.7185958,11.7253171,large,Björkängsvägen 3,HÄLLINGSJÖ
82,IK Kongahälla,57.76365413333334,11.865690455555557,medium,Karebyvägen 4,KUNGÄLV
83,IK Virgo,57.68500848000001,11.98073936,small,Ljungbackegatan 1b,GÖTEBORG
84,IK Zenith,57.7515891,11.8284141,small,Zenithgården,TORSLANDA
85,IK Zenith FF,57.7515891,11.8284141,small,Zenithgården 1,Torslanda
86,Inter Göteborg IF,57.79754723563219,12.053522495402298,small,Släpharvsgatan 5C,Mölndal
87,Jitex BK,57.7882203,12.0963704,medium,Idrottsvägen,MÖLNDAL
88,Johannebergs IF,57.7423562,11.9761058,medium,Sagogången 42,Hisingsbacka
89,Jonsereds IF,57.816984,11.9075666,large,Jons Väg 23,JONSERED
90,Järnbrotts IF,57.6599406,11.9105612,small,Musikvägen 42,VÄSTRA FRÖLUNDA
91,Kalvsunds IF,57.66767412352941,11.859881276470588,small,Gamla vägen 19,KALVSUND
92,Kareby IS,57.77083082878787,11.835537030303032,medium,Hagenvägen 73,KAREBY
93,KIF Bosna Ljiljan,57.7335078,11.8846269,medium,Temperaturgatan 80,GÖTEBORG
94,Kortedala IK,57.7607173,12.0361007,medium,Julaftonsgatan 58,Göteborg
95,Kungsladugårds BK,57.6554537,11.8818321,medium,Apelsingatan 4,VÄSTRA FRÖLUNDA
96,Kviberg FF ,57.7618758,12.0380662,small,Allhelgonagatan 19,Göteborg
97,Kållered SK,57.740240081818186,11.942287263636365,medium,Tulebovägen 17,KÅLLERED
98,Kärra Dragons FC,57.759475,11.9618932,small,Båtsman Lustigs gata 64,HisingsBacka
99,Kärra KIF,57.7984282,11.9875589,small,Burmans gata 3,HISINGS KÄRRA
100,Landala IF,57.6823777,11.9843687,small,Gibraltargatan 37,GÖTEBORG
101,Landvetter IF 2003,57.71304308181818,11.769237054545457,small,Tahultsvägen 60,LANDVETTER
102,Landvetter IS,57.71304308181818,11.769237054545457,medium,Tahultsvägen 60,LANDVETTER
103,Lekstorps IF,57.6914198,11.976667,small,Kumminvägen 1,GRÅBO
104,Lerums IS,57.7882203,12.0963704,medium,Idrottsvägen 2,LERUM
105,Lindholmens BK,57.717286023387096,12.02848200080645,large,Björcksgatan 52 C,GÖTEBORG
106,Lindome GIF,57.8065099,12.1811994,small,Hällesåkersvägen 5,LINDOME
107,Lundby IF,57.7192736,11.9206361,small,Munkedalsgatan 10,GÖTEBORG
108,Lunden Överås BK,57.71214669750001,12.00269394,medium,Wrangelsgatan 5 c,GÖTEBORG
109,Låtta Marta IF,57.75458340769232,11.93186155128205,small,Ängskogsvägen 10 A,GÖTEBORG
110,Marockanska Göteborg FF,57.7117635,12.0161054,small,Lilliegatan 10,Göteborg
111,Marstrands BK,57.744129775000005,11.9574511625,small,Täljstensgatan 7,Ytterby
112,Marstrands IS,57.66573686111112,11.86394465,small,Nygatan 40,Marstrand
113,Masthuggets BK,57.6953966,11.9396357,large,Fjällgatan 27,GÖTEBORG
114,Menisken IF,57.6539102,11.9280375,medium,Radiofyrsgatan 5,Västra Frölunda
115,Mossens BK,57.6823777,11.9843687,medium,Gibraltargatan 37,GÖTEBORG
116,Mölndal United FC,57.70891521111111,11.929652111111112,large,Stenbrogatan 3E,Mölndal
117,Mölnlycke IS Ungdom ,57.711785125000006,11.899042608333332,medium,Azaleavägen 4,Mölnlycke
118,Neutrala UF,57.7249984,11.8870472,small,flygvädersgatan 8,GÖTEBORG
119,Nigerian Family KF,57.7367506,12.0304551,large,övre kaserngåden 6,göteborg
120,Nokhba FC ,57.8195764,12.0317622,medium,Paprikagatan 9,Angered
121,NorthLion FC,57.71516225949368,12.024604520886076,medium,Munkebäcksgatan 14 c,Göteborg
122,Näsets SK,57.6320864,11.9006232,large,Bergsätersgatan 7,VÄSTRA FRÖLUNDA
123,Partille IF FK,57.6641977,11.8810872,small,Nygårsvägen 1,Partille
124,Poseidon FC,57.701556,12.0156357,small,Bögatan 50B,Göteborg
125,Proletären FF,57.6343995,11.9028735,small,Åkereds Skolväg 22,VÄSTRA FRÖLUNDA
126,Pushers BK,57.696163933613455,11.95007534201681,small,Nordhemsgatan 69 A,GÖTEBORG
127,Qviding FIF,57.7162171,12.0171829,medium,Härlanda Park 6B,GÖTEBORG
128,Rampen IK,57.6897807,11.9260452,large,Vantgatan 3B,Göteborg
129,Real Maskin BK,57.744047,12.02762,small,Nymånegatan 5,GÖTEBORG
130,Riyyo Atletic FC ,57.8033521,12.0240109,medium,Kryddhyllan 23,Angered
131,Rödbo IF,57.6961863,11.9272519,small,Lotsgatan 12,Göteborg
132,Salaam IF ,57.72473897263158,11.90108415052632,small,Långströmsgatan 19C,Göteborg
133,Sandarna BK,57.6861747,11.9126746,small,Ostindiegatan 25,GÖTEBORG
134,Serbiska KIF Semberija Göteborg,57.7472476,12.0311111,small,Kalendervägen 2,GÖTEBORG
135,Serbiska KoIF Kozara,57.7511578,12.0235886,large,Dagjämningsgatan 1,Göteborg
136,SG Ruddalen IF,57.6630738,11.9117081,small,Musikvägen 61,Västra Frölunda
137,Sjövalla FK,57.63240438442623,11.961185741393445,medium,Finnsjövägen 12,MÖLNLYCKE
138,SK Argo,57.6870139,11.9318664,medium,Ekedalsgatan 26,GÖTEBORG
139,Skogens IF,57.6758877,11.936221283333332,small,Johan Alins gata 2,GÖTEBORG
140,Solväders FC,57.7229773,11.8913202,large,Klarvädersgatan 1,Göteborg
141,Solängens BK,57.6597376,11.8908908,large,Bäckstensgatan 15,MÖLNDAL
142,Stenkullen GoIK,57.6311304,11.9475751,small,Granitvägen 3,Stenkullen
143,Styrsö BK,57.6154611,11.7906686,small,Brattenskogen 11,Styrsö
144,Swed-Som IF ,57.7593847,12.078642,small,Bergsjödalen 57,Göteborg
145,Svensk-Somaliska FS,57.7970326,12.0549887,small,Fjäderhavsgatan 105,Angered
146,Syrianska Göteborg FC,57.7685843,12.0291103,small,Fotbollsvägen 48,Angered
147,Säve SK,57.8086097,11.9167788,medium,Tåfjällsvägen 15,SÄVE
148,Sävedalens IF,57.7872778,12.1017575,medium,Hultvägen 2,SÄVEDALEN
149,Tollereds IF,57.667136,11.8607742,small,Gamla Sågvägen 6,TOLLERED
150,Torslanda FC,57.7179509,11.7587758,small,Torslanda Idrottsväg 17,TORSLANDA
151,Torslanda IK,57.7179509,11.7587758,large,Torslanda Idrottsväg 17,TORSLANDA
152,Tuve BK ,57.7646018,11.9505955,small,Lillhagsvägen 291,Hisings Backa
153,Tynnered FC,57.6455098,11.9044775,small,Safirgatan 13,Västra Frölunda
154,Utbynäs FF,57.7349916,12.0536182,small,Lemmingsgatan 5,GÖTEBORG
155,Utbynäs SK,57.73375724,12.04427599,large,Utbynäs SK,GÖTEBORG
